60746,"The Institution of Electronics and Telecommunication Engineers (IETE), India "
60746,"The Institution of Engineers (IE), India"
60746,"The Global ICT Standardization Forum for India (GISFI), India"
60746,"The Thomson Reuters Expert Witness Services, Washington DC, USA"
60746,"The ITU Kaleidoscope, Geneva "
33904,COMPUTER SOCIETY OF INDIA
66493,IEEE
67417,Life Member in ISTE
67417,Life Member in IETE
63121,International Association of Engineers(IAENG)
67046,IEEE (ID 92206639)
67046,"SAEINDIA, society of automative engineers(id:7190410330)"
67046,International Association of Engineers (IAENG) Member No: 143463
67035,IEEE Member
67584,IEEE Member 
700139,ISTE Life Member
700139,CSI Life Member
701699,International Association of Engineers
