60746,"Dhananjay Kumar, Aswin Kumar Ravikumar, Vivekanandan Dharmalingam, Ved P. Kafle",Elderly health monitoring system with fall detection using multi-feature based person tracking,,,2019," International level conference on Kaleidoscope 2019 - ICT for Health: Networks, standards and innovation, organised by Georgia Institute of Technology, Atlanta",
60746,"Dhananjay Kumar, Ankur Yadav",Easy to wear child guarding gadget,IEEE,1 to 6,2019,2019 4th International Conference on Internet of Things: Smart Innovation and Usages (IoT-SIU),
60746,"Dhananjay Kumar, KumKum Som, Pramod Kumar, Krista Chaudhary",General Outlook of Wireless Body Area Sensor Networks,"Springer, Singapore",58-67,2019,International Conference on Advances in Computing and Data Sciences,1
60746,"V Premanand, Dhananjay Kumar, V Arulalan",An Instance Identification Using Randomized Ring Matching Via Score Generation,"Springer, Cham",969-977,2018,International Conference On Computational Vision and Bio Inspired Computing,
60746,"V Premanand, Dhananjay Kumar, V Arulalan",An Item Based Collaborative Filtering for Similar Movie Search,"Springer, Cham",949-955,2018,International Conference On Computational Vision and Bio Inspired Computing,
60746,"Dhananjay Kumar, Govinda Raj Sampath Sarala",Optical Flow Based Learning Approach For Abnormal Crowd Activity Detection With Motion Descriptor Map,IEEE,1 to 6,2018,2018 ITU Kaleidoscope: Machine Learning for a 5G Future (ITU K),1
60746,"Dhananjay Kumar, Narmathaa Logganathan, Ved P Kafle",Double sarsa based machine learning to improve quality of video streaming over HTTP through wireless networks,IEEE,1 to 8,2018,2018 ITU Kaleidoscope: Machine Learning for a 5G Future (ITU K),2
60746,"Dhananajay Kumar, BR Nandan, HD Mathur, S Bhanot",Robust controller synthesis for frequency regulation in islanded microgrid,IEEE,1 to 6,2017,2017 14th IEEE India Council International Conference (INDICON),3
60746,"Dhananjay Kumar, V Aswini, L Arun Raj, S Hiran Kumar",Machine learning approach for quality adaptation of streaming video through 4G wireless network over HTTP,IEEE,1 to 8,2017,2017 ITU Kaleidoscope: Challenges for a Data-Driven Society (ITU K),
60746,"BR Deepak, P Shyamala Bharathi, Dhananjay Kumar",Radio frequency anti-jamming capability improvement for cognitive radio networks: An evolutionary game theoretical approach,IEEE,1 to 6,2017,"2017 Fourth International Conference on Signal Processing, Communication and Networking (ICSCN)",3
60746,"Dhananjay Kumar, S Aishwarya, A Srinivasan, L Arun Raj",Adaptive video streaming over HTTP using stochastic bitrate prediction in 4G wireless networks,IEEE,1 to 8,2016,2016 ITU Kaleidoscope: ICTs for a Sustainable World (ITU WT),4
60746,"Anandkrishna R, Dhananjay Kumar",Improving Mapreduce for Incremental Processing Using Map Data Storage,,,2016,4th International Conference on Recent Trends in Computer Science & Engineering (ICRTCSE),
60746,"L Sindhia, K B Hariharan, Dhananjay Kumar",Efficient detection tracking of multiple moving objects in temporal domain,,,2016,International Conference on Recent Trends in Information Technology (ICRTIT),7
