60746,"International Conference on Signal Processing, Communication and Networking (ICSCN 2015)",Anna University,"MIT Campus, Chennai",26-Mar-15,28-Mar-15
60746,"ITU Kaleidoscope Conference 2015, Barcelona, Spain",The Standardization Sector of ITU (ITU-T),Geneva,09-Dec-15,11-Dec-15
60746,Fifth International Conference on Recent Trends in Information Technology,Anna University,"MIT Campus, Chennai",08-Apr-16,09-Apr-16
60746,Fourth International Conference on Recent Trends in Computer Science and Engineering (ICRTCSE 2016),Apollo Engineering College,Chennai,29-Apr-16,29-Apr-16
60746,International Intellectual Convergence on Advances in Science and Engineering,Aalim Muhammed Salegh College of Engineering,"Avadi, Chennai",04-Mar-17,
60746,9th International Conference on Advanced Computing,Anna University,"MIT Campus, Chennai",14-Dec-17,
60746,ITU Kaleidoscope 2018 Machine learning for a 5G future,ITU Telecommunication Standardization Sector (ITU-T),Geneva,26-Nov-18,28-Nov-18
60746,"Kaleidoscope 2019 - ICT for Health: Networks, standards and innovation",Georgia Institute of Technology,"Atlanta, Georgia, USA",04-Dec-19,06-Dec-19
33904,International Conference on Advanced Computing ICoAC 16,Anna University,"MIT Campus, Chennai",19-Jan-17,21-Jan-17
33904,International Conference on Advanced Computing ICoAC 17,Anna University,"MIT Campus, Chennai",14-Dec-17,16-Dec-17
66493,ICRTIT 2016,Anna University,"MIT Campus, Chennai",,
66493,ICoAC 2015,Anna University,"MIT Campus, Chennai",,
66493,"WiSPNET 2016 : IEEE International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)",SSN COLLEGE OF ENGINEERING,Chennai,23-Mar-16,25-Mar-16
60781,International Conference on Recent Trends in Information Technology,Madras Institute of Technology,Chennai,08-Apr-16,09-Apr-16
60781,8TH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING,Madras Institute of Technology,Chennai,14-Dec-16,16-Dec-16
67417,"International Conference on Recent Trends in Information Technology, ICRTIT 2016",Madras Institute of Technology,"MIT Campus, Chennai",08-Apr-16,09-Apr-16
67417,IEEE Technological Innovations in ICT for Agriculture and Rural Development,Easwari Engineering College,,15-Jul-16,16-Jul-16
67417,Eigth Int. Conf. on Advanced Computing (ICoAC),Madras Institute of Technology,,20-Jan-17,
67417,"4th Int. Conf. on Signal Processing, Communications and Networking (ICSCN'17)",Madras Institute of Technology,,16-Mar-17,18-Mar-17
67417,IEEE Int. Conf. on Technological Innovations in ICT for Agriculture and Rural Development,Easwari Engineering College,,07-Apr-17,08-Apr-17
63121,International Conference on Recent Trends in Information Technology (ICRTIT 2016),Anna University,"MIT Campus, Chennai",08-Apr-16,09-Apr-16
63121,International Conference on Advanced Computing (ICoAC 2017),Anna University,"MIT Campus, Chennai",16-Nov-18,16-Nov-18
67584,International Conference on Advanced Computing,,,,
