60746,AMIE in Electronics and Communication Engineering,1993-1997,"Institution of Engineers, Calcutta",M.E. in Electrical and Electronics Engineering,1998-1999,Maharaja Sayajrao University of Baroda,Ph.D in Mobile Computing,Efficient Resource Allocation in Next Generation Multi-Carrier Cellular Networks to Support Multimedia Traffic,2004-2009,"College Of Engineering, Guindy"
60746,-,-,-,M.Tech in Electronics and Communication Engineering,1999-2001,"Pondichery Engineering College, Pondicherry",-,-,-,-
33904,-,-,-,M.E in Computer Science Engineering,1996-1997,"Govt. College of Technology, Coimbatore",Ph.D in Image Processing,Storage and access techniques for intelligent image retrieval from image databases,2000-2006,"College Of Engineering, Guindy"
66493,B.E in Computer Science and Engineering,1995-1999,Bharath Institute of Science and Technology ,M.E in Electronics,1999-2001,Madras Institue Of Technology,Ph.D in Information Retrieval and Management Systems,Semantics caching using dynamic facts for effective information retrieval from XML databases,2002-2009,Madras Institute Of Technology
60781,B.E in Computer Science Engineering,1989-1993,"Periyar Maniyammai College, Vallam",M.E in Computer Science Engineering,1998-2000,"College Of Engineering, Guindy",Ph.D in Web Database,Non-Redundant Compact Storage Structures for XML Databases,2004-2012,Madras Institute Of Technology
67417,B.E in Electronics and Communication Engineering,1987-1991,"Govt. College Of Engineering, Tirunelveli",M.B.A in Systems,1994-1997,Madurai Kamaraj University,"Ph.D in Parallel Architecture, VLSI",Improved Performance for irregular network-on-chip architectures,2007-2015,"Anna University, Chennai"
67417,-,-,-,M.E in Applied Electronics,2003-2006,"College Of Engineering, Guindy",-,-,-,-
63121,B.Sc in Applied geology,1992-1995,"College Of Engineering, Guindy",M.C.A in Computer Applications,1996-1999,"College Of Engineering, Guindy",Ph.D in IDS using Data Mining,A Data Mining Approach for Hybrid Intrusion Detection System,2006-2012,"College Of Engineering, Guindy"
63121,-,-,-,M.E in Computer Science Engineering,2001-2003,"College Of Engineering, Guindy",-,-,-,-
67046,B.Tech in Information Technology,2001-2005,"AVC College Of Engineering, Mannampandhal",M.E in Computer Science Engineering,2005-2007,"Govt. College of Engineering, Tirunelveli",Ph.D in Wireless Sensor Networks,Trust based temporal data aggregation for energy constrained wireless sensor networks,2009-2016,Madras Institute Of Technology
