60746,Member of Editorial Board,"American Academic and Scholarly Research Centre, USA",01-Jun-11,Scholarship," Ministry of Human Resource Development, Government of India ",India,1998,"Ministry of Human Resource Development, GOI, New Delhi scholarship (through GATE) to pursue M.E. and M.Tech. programs"
60746,Reviewer,Vehicular Communications,22-Jan-2018 to31-May-2018,Scholarship," Ministry of Human Resource Development, Government of India",India,2000, Rewarded by Intel Software Network group for a contest 'Show Us Your Threads' in the year 200
60746,Technical Expert,The ITU Secretary-General’s Academia Consultation,13-Nov-2016 to 13-Nov-2016, Show Us Your Threads," Intel® Software Network, USA",India,2007," Name & brief resume included in World's Whose Who published by MARQUIS, USA in 27th Edition, for the year 2010"
60746,Guest member in Focus Group,"FG-ML5G in ITU Telecommunication Standardization Sector(ITU-T), Geneva",30-Jan-2018 to01-Feb-2018,Fellowship,ITU’s Telecommunication Standardization Sector (ITU-T),Switzerland,2009,"Nominated for ""Rashtriya Gaurav Award"" by India International Friendship Society, New Delhi, in the year 2010"
60746,Reviewer,"The Visual Computer, Springer Publishing, USA",12-Aug-14,(Nominated) Rashtriya Gaurav Award,India International Friendship Society,"Delhi,India
New Delhi, India
New Delhi , India
Delhi from India",2010,"Fellowship by ITU's Telecommunication Standardization Sector (ITU-T), Geneva, year 2009"
60746, Reviewer,"Journal of Network and Computer Apln., Elsevier, Netherlands",_,Fellowship,United Nation Development Program (UNDP) , India,2011,"Fellowship by United Nation Development Program (UNDP) through ITU-T, Geneva Year 2011"
60746, Reviewer,"           Journal of Electronic Imaging, Bellingham WA, USA", 28-May-2014,(Selected) Mother Teresa Excellence,Integrated Council for Scio-Economic Progress from Thrissur, India,2012, A prize (RIM/BlackBerry) by ITU-T under two best ranked papers that include a young author during Kaleidoscope 2011 at Cape Town
60746, Reviewer,"IEEE Transactions on Multimedia, USA",04-Sep-14,Fellowship,ITU Telecommunication Standardization Sector (ITU-T),Switzerland,2017,"Selected for the ""Mother Teresa Excellence"" award by the Integrated Council for Scio-Economic Progress, Thrissur"
60746,Member of Editorial Board,"Webmed Central Publication, UK",06-Jul-10,ITU Document No. TSAG-TD 240-R1,Telecommunication Standardization Bureau of ITU , Switzerland,2018,
60746,TPC Member of ITU Kaleidoscope Event,"The Stnaderdization Sector of ITU (ITU-T), Geneva", 17-Jul-2013,Document RAG19/INFO/1-E, ITU New Radiocommunication Advisory Group ,Geneva,2019,
